                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
77,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:22 
78,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:23 
79,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:24 
80,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:25 
81,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:12:26 
82,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:12:27 
83,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:28 
84,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:29 
85,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:30 
86,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:31 
87,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:32 
88,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:12:33 
89,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:12:34 
90,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:12:35 
91,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:36 
92,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:37 
93,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:38 
94,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:39 
95,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:40 
96,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:41 
97,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:42 
98,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:12:43 
99,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:44 
100,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:45 
101,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:46 
102,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:12:47 
103,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:48 
104,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:12:49 
105,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:12:50 
106,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:51 
107,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:12:52 
108,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:53 
109,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:54 
110,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:55 
111,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:56 
112,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:57 
113,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:58 
114,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:12:59 
115,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:00 
116,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:13:01 
117,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:13:02 
118,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:13:03 
119,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:04 
120,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:13:05 
121,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:13:06 
122,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:07 
123,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:08 
