                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
5161,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:06 
5162,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:07 
5163,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:08 
5164,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:09 
5165,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:10 
5166,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:11 
5167,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:12 
5168,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:13 
5169,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:14 
5170,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:15 
5171,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:16 
5172,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:17 
5173,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:18 
5174,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:19 
5175,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:20 
5176,   29.4 C           ,,   59.4 %RH           ,,01-10-19/10:37:21 
5177,   29.4 C           ,,   59.4 %RH           ,,01-10-19/10:37:22 
5178,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:23 
5179,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:24 
5180,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:25 
5181,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:26 
5182,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:27 
5183,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:28 
5184,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:29 
5185,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:30 
5186,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:31 
5187,   29.4 C           ,,   59.5 %RH           ,,01-10-19/10:37:32 
5188,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:33 
5189,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:34 
5190,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:35 
5191,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:36 
5192,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:37 
5193,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:38 
5194,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:39 
5195,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:40 
5196,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:41 
5197,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:42 
5198,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:43 
5199,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:44 
5200,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:45 
5201,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:46 
5202,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:47 
5203,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:48 
5204,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:49 
5205,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:50 
5206,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:51 
5207,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:52 
5208,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:53 
5209,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:54 
5210,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:55 
5211,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:56 
5212,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:57 
5213,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:58 
5214,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:37:59 
5215,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:00 
5216,   29.4 C           ,,   59.6 %RH           ,,01-10-19/10:38:01 
5217,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:02 
5218,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:03 
5219,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:04 
5220,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:05 
5221,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:06 
5222,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:07 
5223,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:08 
5224,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:09 
5225,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:10 
5226,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:11 
5227,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:12 
5228,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:13 
5229,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:14 
5230,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:15 
5231,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:16 
5232,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:17 
5233,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:18 
5234,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:19 
5235,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:20 
5236,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:21 
5237,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:22 
5238,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:23 
5239,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:24 
5240,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:25 
5241,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:26 
5242,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:27 
5243,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:28 
5244,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:29 
5245,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:30 
5246,   29.4 C           ,,   59.7 %RH           ,,01-10-19/10:38:31 
5247,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:32 
5248,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:33 
5249,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:34 
5250,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:35 
5251,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:36 
5252,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:37 
5253,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:38 
5254,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:39 
5255,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:40 
5256,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:41 
5257,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:42 
5258,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:43 
5259,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:44 
5260,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:45 
5261,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:46 
5262,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:47 
5263,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:48 
5264,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:49 
5265,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:50 
5266,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:51 
5267,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:52 
5268,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:53 
5269,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:54 
5270,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:55 
5271,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:56 
5272,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:57 
5273,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:58 
5274,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:38:59 
5275,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:00 
5276,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:01 
5277,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:02 
5278,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:03 
5279,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:04 
5280,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:05 
5281,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:06 
5282,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:07 
5283,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:08 
5284,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:09 
5285,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:10 
5286,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:11 
5287,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:12 
5288,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:13 
5289,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:14 
5290,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:15 
5291,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:16 
5292,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:17 
5293,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:18 
5294,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:19 
5295,   29.4 C           ,,   59.8 %RH           ,,01-10-19/10:39:20 
5296,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:21 
5297,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:22 
5298,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:23 
5299,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:24 
5300,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:25 
5301,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:26 
5302,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:27 
5303,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:28 
5304,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:29 
5305,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:30 
5306,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:31 
5307,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:32 
5308,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:33 
5309,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:34 
5310,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:35 
5311,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:36 
5312,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:37 
5313,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:38 
5314,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:39 
5315,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:40 
5316,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:41 
5317,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:42 
5318,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:43 
5319,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:44 
5320,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:45 
5321,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:46 
5322,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:47 
5323,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:48 
5324,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:49 
5325,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:50 
5326,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:51 
5327,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:52 
5328,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:53 
5329,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:54 
5330,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:55 
5331,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:39:56 
5332,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:39:57 
5333,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:39:58 
5334,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:39:59 
5335,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:40:00 
5336,   29.4 C           ,,   59.9 %RH           ,,01-10-19/10:40:01 
5337,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:02 
5338,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:03 
5339,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:04 
5340,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:05 
5341,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:06 
5342,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:07 
5343,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:08 
5344,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:09 
5345,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:10 
5346,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:11 
5347,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:12 
5348,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:13 
5349,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:14 
5350,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:15 
5351,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:16 
5352,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:17 
5353,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:18 
5354,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:19 
5355,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:20 
5356,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:21 
5357,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:22 
5358,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:23 
5359,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:24 
5360,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:25 
5361,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:26 
5362,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:27 
5363,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:28 
5364,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:29 
5365,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:30 
5366,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:31 
5367,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:32 
5368,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:33 
5369,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:34 
5370,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:35 
5371,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:36 
5372,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:37 
5373,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:38 
5374,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:39 
5375,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:40 
5376,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:41 
5377,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:42 
5378,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:43 
5379,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:44 
5380,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:45 
5381,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:46 
5382,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:47 
5383,   29.4 C           ,,   60.0 %RH           ,,01-10-19/10:40:48 
5384,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:49 
5385,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:50 
5386,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:51 
5387,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:52 
5388,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:53 
5389,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:54 
5390,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:55 
5391,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:56 
5392,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:57 
5393,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:58 
5394,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:40:59 
5395,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:00 
5396,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:01 
5397,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:02 
5398,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:03 
5399,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:04 
5400,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:05 
5401,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:06 
5402,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:07 
5403,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:08 
5404,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:09 
5405,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:10 
5406,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:11 
5407,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:12 
5408,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:13 
5409,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:14 
5410,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:15 
5411,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:16 
5412,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:17 
5413,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:18 
5414,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:19 
5415,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:20 
5416,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:21 
5417,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:22 
5418,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:23 
5419,   29.4 C           ,,   60.1 %RH           ,,01-10-19/10:41:24 
5420,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:25 
5421,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:26 
5422,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:27 
5423,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:28 
5424,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:29 
5425,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:30 
5426,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:31 
5427,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:32 
5428,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:33 
5429,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:34 
5430,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:35 
5431,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:36 
5432,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:37 
5433,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:38 
5434,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:39 
5435,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:40 
5436,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:41 
5437,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:42 
5438,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:43 
5439,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:44 
5440,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:45 
5441,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:46 
5442,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:47 
5443,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:48 
5444,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:49 
5445,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:50 
5446,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:51 
5447,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:52 
5448,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:53 
5449,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:54 
5450,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:55 
5451,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:56 
5452,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:57 
5453,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:58 
5454,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:41:59 
5455,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:42:00 
5456,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:42:01 
5457,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:42:02 
5458,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:42:03 
5459,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:04 
5460,   29.4 C           ,,   60.2 %RH           ,,01-10-19/10:42:05 
5461,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:06 
5462,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:07 
5463,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:08 
5464,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:09 
5465,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:10 
5466,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:11 
5467,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:12 
5468,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:13 
5469,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:14 
5470,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:15 
5471,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:16 
5472,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:17 
5473,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:18 
5474,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:19 
5475,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:20 
5476,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:21 
5477,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:22 
5478,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:23 
5479,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:24 
5480,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:25 
5481,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:26 
5482,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:27 
5483,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:28 
5484,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:29 
5485,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:30 
5486,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:31 
5487,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:32 
5488,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:33 
5489,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:34 
5490,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:35 
5491,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:36 
5492,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:37 
5493,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:38 
5494,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:39 
5495,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:40 
5496,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:41 
5497,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:42 
5498,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:43 
5499,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:44 
5500,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:45 
5501,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:46 
5502,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:47 
5503,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:48 
5504,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:49 
5505,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:50 
5506,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:51 
5507,   29.4 C           ,,   60.3 %RH           ,,01-10-19/10:42:52 
5508,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:53 
5509,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:54 
5510,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:55 
5511,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:56 
5512,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:57 
5513,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:42:58 
5514,   29.5 C           ,,   60.4 %RH           ,,01-10-19/10:42:59 
5515,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:43:00 
5516,   29.5 C           ,,   60.3 %RH           ,,01-10-19/10:43:01 
5517,   29.5 C           ,,   60.4 %RH           ,,01-10-19/10:43:02 
5518,   29.5 C           ,,   60.4 %RH           ,,01-10-19/10:43:03 
