Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 1 s
Start date = 2019/09/16
Start time = 09:57:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2019/09/16,09:58:12,883603,918408,"-3.863",99,28,0,82,8070
2019/09/16,09:58:13,883645,918432,"-3.861",99,28,0,82,7367
2019/09/16,09:58:14,883651,918410,"-3.858",99,28,0,82,10583
2019/09/16,09:58:15,883664,918404,"-3.856",100,28,0,82,7240
2019/09/16,09:58:16,883604,918327,"-3.854",100,28,0,82,5433
2019/09/16,09:58:17,883628,918316,"-3.851",100,28,0,82,13339
2019/09/16,09:58:18,883620,918294,"-3.849",100,28,0,82,5079
2019/09/16,09:58:19,883614,918262,"-3.846",100,28,0,82,9562
2019/09/16,09:58:20,883622,918250,"-3.844",100,28,0,82,7539
2019/09/16,09:58:21,883594,918203,"-3.842",100,28,0,82,6645
2019/09/16,09:58:22,883617,918217,"-3.841",100,28,0,82,3675
2019/09/16,09:58:23,883609,918188,"-3.839",100,28,0,82,7678
2019/09/16,09:58:24,883605,918166,"-3.837",100,28,0,82,6623
2019/09/16,09:58:25,883594,918145,"-3.836",100,28,0,82,3552
2019/09/16,09:58:26,883506,918038,"-3.834",100,28,0,82,5776
2019/09/16,09:58:27,883504,918021,"-3.832",100,28,0,82,5539
2019/09/16,09:58:28,883494,917982,"-3.829",100,28,0,82,10621
2019/09/16,09:58:29,883487,917965,"-3.828",100,28,0,82,3611
2019/09/16,09:58:30,883516,917969,"-3.825",100,28,0,82,9701
2019/09/16,09:58:31,883494,917928,"-3.823",99,28,0,82,6804
2019/09/16,09:58:32,883458,917874,"-3.822",99,28,0,82,6225
2019/09/16,09:58:33,883494,917863,"-3.816",99,28,0,82,18153
2019/09/16,09:58:34,883497,917824,"-3.812",99,28,0,82,15796
