Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 1 s
Start date = 2019/09/25
Start time = 09:12:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2019/09/25,09:13:14,918135,857553,"6.826",99,31,0,100,6617
2019/09/25,09:13:15,918154,857561,"6.827",99,31,0,100,3912
2019/09/25,09:13:16,918078,857472,"6.829",99,31,0,100,7232
2019/09/25,09:13:17,918066,857446,"6.831",99,31,0,100,5939
2019/09/25,09:13:18,918127,857490,"6.833",99,31,0,100,5208
2019/09/25,09:13:19,918110,857461,"6.834",99,31,0,100,5268
2019/09/25,09:13:20,918135,857473,"6.835",99,31,0,100,4556
2019/09/25,09:13:21,918109,857434,"6.837",99,31,0,100,5909
2019/09/25,09:13:22,918134,857442,"6.839",99,31,0,100,6162
2019/09/25,09:13:23,918128,857430,"6.840",99,31,0,100,2568
2019/09/25,09:13:24,918141,857424,"6.842",98,31,0,100,7357
2019/09/25,09:13:25,918097,857379,"6.842",99,31,0,100,1570
2019/09/25,09:13:26,918127,857383,"6.845",99,31,0,100,9642
2019/09/25,09:13:27,918132,857379,"6.846",99,31,0,100,3481
2019/09/25,09:13:28,918121,857350,"6.848",99,31,0,100,7520
2019/09/25,09:13:29,918101,857326,"6.849",99,31,0,100,2138
2019/09/25,09:13:30,918061,857259,"6.852",99,31,0,100,11905
2019/09/25,09:13:31,918063,857244,"6.854",99,31,0,100,6773
2019/09/25,09:13:32,918142,857306,"6.856",99,31,0,100,4725
2019/09/25,09:13:33,918030,857190,"6.857",99,31,0,100,4587
2019/09/25,09:13:34,917953,857101,"6.859",99,31,0,100,6869
2019/09/25,09:13:35,918071,857198,"6.861",99,31,0,100,5292
2019/09/25,09:13:36,918086,857186,"6.864",99,31,0,100,10444
2019/09/25,09:13:37,918056,857149,"6.865",99,31,0,100,3610
2019/09/25,09:13:38,918026,857100,"6.867",99,31,0,100,8430
2019/09/25,09:13:39,917961,857022,"6.869",99,31,0,100,6954
2019/09/25,09:13:40,918034,857082,"6.870",99,31,0,100,3275
2019/09/25,09:13:41,918022,857051,"6.872",99,31,0,100,7951
2019/09/25,09:13:42,918109,857118,"6.874",99,31,0,100,5712
2019/09/25,09:13:43,918140,857125,"6.877",99,31,0,100,8812
2019/09/25,09:13:44,918034,857021,"6.877",99,31,0,100,2026
2019/09/25,09:13:45,917996,856965,"6.880",99,31,0,100,8245
2019/09/25,09:13:46,918021,856972,"6.882",99,31,0,100,6563
2019/09/25,09:13:47,918014,856962,"6.882",99,31,0,100,1392
2019/09/25,09:13:48,918040,856965,"6.884",99,31,0,100,8544
2019/09/25,09:13:49,917984,856898,"6.886",99,31,0,100,5916
2019/09/25,09:13:50,917989,856885,"6.888",99,31,0,100,7098
2019/09/25,09:13:51,918035,856920,"6.889",99,31,0,100,3189
2019/09/25,09:13:52,917949,856820,"6.891",99,31,0,100,7925
2019/09/25,09:13:53,917910,856770,"6.893",99,31,0,100,5463
2019/09/25,09:13:54,917998,856836,"6.895",99,31,0,100,6484
2019/09/25,09:13:55,917982,856805,"6.897",99,31,0,100,6455
2019/09/25,09:13:56,917994,856804,"6.898",99,31,0,100,4902
2019/09/25,09:13:57,917924,856722,"6.900",99,31,0,100,6697
2019/09/25,09:13:58,917989,856774,"6.901",99,31,0,100,3482
2019/09/25,09:13:59,918009,856781,"6.902",99,31,0,100,4687
2019/09/25,09:14:00,917994,856752,"6.904",99,31,0,100,6027
2019/09/25,09:14:01,917861,856614,"6.906",99,31,0,100,5575
2019/09/25,09:14:02,917869,856606,"6.908",99,31,0,100,6215
2019/09/25,09:14:03,917897,856624,"6.909",99,31,0,100,3268
2019/09/25,09:14:04,917936,856641,"6.911",99,31,0,100,7794
2019/09/25,09:14:05,917938,856626,"6.913",99,31,0,100,6778
2019/09/25,09:14:06,917929,856604,"6.914",99,31,0,100,5466
2019/09/25,09:14:07,917915,856587,"6.915",99,31,0,100,1582
2019/09/25,09:14:08,918002,856652,"6.917",99,31,0,100,6505
2019/09/25,09:14:09,918038,856673,"6.918",99,31,0,100,5061
2019/09/25,09:14:10,917965,856591,"6.920",99,31,0,100,5578
2019/09/25,09:14:11,918079,856676,"6.922",99,31,0,100,8590
2019/09/25,09:14:12,918047,856634,"6.924",99,31,0,100,4879
2019/09/25,09:14:13,917930,856520,"6.924",99,31,0,100,1940
2019/09/25,09:14:14,917949,856517,"6.927",99,31,0,100,8331
2019/09/25,09:14:15,917996,856541,"6.929",99,31,0,100,7979
2019/09/25,09:14:16,917992,856535,"6.929",99,31,0,100,911
2019/09/25,09:14:17,917995,856524,"6.931",99,31,0,100,5546
2019/09/25,09:14:18,918007,856517,"6.933",99,31,0,100,7313
2019/09/25,09:14:19,918071,856567,"6.934",99,31,0,100,3904
2019/09/25,09:14:20,917995,856491,"6.935",99,31,0,100,2046
2019/09/25,09:14:21,917989,856468,"6.937",99,31,0,100,6994
2019/09/25,09:14:22,917908,856374,"6.939",99,31,0,100,7408
2019/09/25,09:14:23,917909,856356,"6.941",99,31,0,100,7611
2019/09/25,09:14:24,917904,856347,"6.942",99,31,0,100,1743
2019/09/25,09:14:25,917919,856351,"6.943",99,31,0,100,4017
2019/09/25,09:14:26,917969,856379,"6.945",99,31,0,100,7495
2019/09/25,09:14:27,917896,856296,"6.947",99,31,0,100,5989
2019/09/25,09:14:28,917980,856362,"6.948",99,31,0,100,4970
2019/09/25,09:14:29,917969,856346,"6.949",99,31,0,100,2307
2019/09/25,09:14:30,918037,856384,"6.952",99,31,0,100,10224
2019/09/25,09:14:31,917968,856313,"6.953",99,31,0,100,2667
2019/09/25,09:14:32,917961,856288,"6.955",99,31,0,100,7425
2019/09/25,09:14:33,917937,856259,"6.956",99,31,0,100,2658
2019/09/25,09:14:34,917962,856265,"6.958",99,31,0,100,6963
2019/09/25,09:14:35,918071,856351,"6.959",99,31,0,100,6301
2019/09/25,09:14:36,918075,856338,"6.961",99,31,0,100,6726
2019/09/25,09:14:37,917954,856213,"6.963",99,31,0,100,4880
2019/09/25,09:14:38,917913,856156,"6.965",99,31,0,100,7542
2019/09/25,09:14:39,917891,856129,"6.966",99,31,0,100,2606
2019/09/25,09:14:40,917900,856116,"6.968",99,31,0,100,8603
2019/09/25,09:14:41,917774,855979,"6.971",99,31,0,100,7834
2019/09/25,09:14:42,917898,856093,"6.971",99,31,0,100,664
2019/09/25,09:14:43,917810,855994,"6.973",99,31,0,100,6807
2019/09/25,09:14:44,917802,855977,"6.974",99,31,0,100,3836
2019/09/25,09:14:45,917830,856000,"6.974",99,31,0,100,1252
2019/09/25,09:14:46,917818,855971,"6.976",99,31,0,100,7162
2019/09/25,09:14:47,917804,855952,"6.977",99,31,0,100,2390
2019/09/25,09:14:48,917790,855918,"6.979",99,31,0,100,8423
2019/09/25,09:14:49,917809,855922,"6.981",99,31,0,100,5518
2019/09/25,09:14:50,917744,855847,"6.983",99,31,0,100,5785
2019/09/25,09:14:51,917815,855898,"6.984",99,31,0,100,6118
2019/09/25,09:14:52,917762,855823,"6.987",99,31,0,100,10287
2019/09/25,09:14:53,917747,855808,"6.988",99,31,0,100,407
2019/09/25,09:14:54,917738,855788,"6.989",99,31,0,100,4669
2019/09/25,09:14:55,917823,855850,"6.991",99,31,0,100,6943
2019/09/25,09:14:56,917835,855848,"6.992",99,31,0,100,5305
2019/09/25,09:14:57,917721,855729,"6.994",99,31,0,100,5109
2019/09/25,09:14:58,917700,855698,"6.995",99,31,0,100,4594
2019/09/25,09:14:59,917736,855711,"6.998",99,31,0,100,8274
2019/09/25,09:15:00,917710,855668,"7.000",99,31,0,100,7546
2019/09/25,09:15:01,917743,855685,"7.002",99,31,0,100,5539
2019/09/25,09:15:02,917772,855698,"7.003",99,31,0,100,5648
2019/09/25,09:15:03,917768,855678,"7.005",99,31,0,100,6546
2019/09/25,09:15:04,917736,855633,"7.007",99,31,0,100,6101
2019/09/25,09:15:05,917713,855595,"7.009",99,31,0,100,6661
2019/09/25,09:15:06,917800,855660,"7.011",99,31,0,100,6482
2019/09/25,09:15:07,917802,855651,"7.012",99,31,0,100,4371
2019/09/25,09:15:08,917785,855624,"7.013",99,31,0,100,4486
2019/09/25,09:15:09,917731,855560,"7.015",99,31,0,100,5495
2019/09/25,09:15:10,917744,855554,"7.017",99,31,0,100,7290
2019/09/25,09:15:11,917727,855517,"7.019",99,31,0,100,8511
2019/09/25,09:15:12,917728,855503,"7.021",99,31,0,100,6008
2019/09/25,09:15:13,917711,855479,"7.022",99,31,0,100,3281
2019/09/25,09:15:14,917710,855459,"7.024",99,31,0,100,7673
2019/09/25,09:15:15,917686,855415,"7.027",99,31,0,100,8704
2019/09/25,09:15:16,917799,855508,"7.028",99,31,0,100,4962
2019/09/25,09:15:17,917708,855409,"7.030",99,31,0,100,5705
2019/09/25,09:15:18,917658,855351,"7.031",99,31,0,100,4586
2019/09/25,09:15:19,917666,855346,"7.033",99,31,0,100,5013
2019/09/25,09:15:20,917666,855329,"7.035",99,31,0,100,6842
2019/09/25,09:15:21,917679,855323,"7.037",99,31,0,100,7291
2019/09/25,09:15:22,917784,855404,"7.039",99,31,0,100,6787
2019/09/25,09:15:23,917662,855278,"7.040",99,31,0,100,4947
2019/09/25,09:15:24,917619,855214,"7.043",99,31,0,100,9629
2019/09/25,09:15:25,917687,855268,"7.044",99,31,0,100,3774
2019/09/25,09:15:26,917646,855220,"7.045",99,31,0,100,3940
2019/09/25,09:15:27,917702,855247,"7.048",99,31,0,100,10139
2019/09/25,09:15:28,917686,855211,"7.051",99,31,0,100,8489
2019/09/25,09:15:29,917661,855180,"7.052",99,31,0,100,3100
2019/09/25,09:15:30,917663,855159,"7.054",99,31,0,100,9204
2019/09/25,09:15:31,917669,855149,"7.056",99,31,0,100,6276
2019/09/25,09:15:32,917645,855107,"7.058",99,31,0,100,7904
2019/09/25,09:15:33,917613,855064,"7.060",99,31,0,100,5306
2019/09/25,09:15:34,917646,855087,"7.061",99,31,0,100,3120
2019/09/25,09:15:35,917589,855016,"7.063",99,31,0,100,7201
2019/09/25,09:15:36,917598,855015,"7.064",99,31,0,100,3779
2019/09/25,09:15:37,917638,855032,"7.066",99,31,0,100,8162
2019/09/25,09:15:38,917649,855032,"7.068",99,31,0,100,4127
2019/09/25,09:15:39,917597,854968,"7.069",99,31,0,100,6260
2019/09/25,09:15:40,917652,855003,"7.071",99,31,0,100,6541
2019/09/25,09:15:41,917640,854972,"7.074",99,31,0,100,7980
2019/09/25,09:15:42,917638,854963,"7.074",99,31,0,100,2873
2019/09/25,09:15:43,917606,854911,"7.077",99,31,0,100,8933
2019/09/25,09:15:44,917611,854900,"7.079",99,31,0,100,6305
2019/09/25,09:15:45,917571,854846,"7.081",99,31,0,100,6739
2019/09/25,09:15:46,917530,854793,"7.083",99,31,0,100,5961
2019/09/25,09:15:47,917578,854825,"7.084",99,31,0,100,5122
2019/09/25,09:15:48,917570,854805,"7.086",99,31,0,100,5053
2019/09/25,09:15:49,917556,854774,"7.088",99,31,0,100,7232
2019/09/25,09:15:50,917533,854739,"7.089",99,31,0,100,5467
2019/09/25,09:15:51,917566,854755,"7.091",99,31,0,100,5937
2019/09/25,09:15:52,917506,854676,"7.094",99,31,0,100,9307
2019/09/25,09:15:53,917516,854678,"7.095",99,31,0,100,2946
2019/09/25,09:15:54,917492,854640,"7.096",99,31,0,100,6301
2019/09/25,09:15:55,917544,854669,"7.099",99,31,0,100,7829
2019/09/25,09:15:56,917505,854617,"7.100",99,31,0,100,6313
2019/09/25,09:15:57,917485,854576,"7.103",99,31,0,100,9011
2019/09/25,09:15:58,917557,854630,"7.105",99,31,0,100,5262
